Year,Month,UnempRate,UnempNetChange,UnempGrowth,AdjParty,AdjPresidents,Party,Presidents,NPEmployment,NPENetChange,EmpGrowth,GDP,GDPGrowth,ConsSentiment,Productivity,Inflation,FedFundIntRate,M2,Spending,TotalTaxRev,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,7,3.2,0.2,0.066666667,Democrat,Truman,Democrat,Truman,48144,-142,-0.2940811,368.1,7.6, , ,3.1, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,8,3.4,0.2,0.0625,Democrat,Truman,Democrat,Truman,48923,779,1.618062479,368.1,7.6, , ,3.1, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,9,3.1,-0.3,-0.088235294,Democrat,Truman,Democrat,Truman,49319,396,0.809435235,368.1,7.6, ,-1.5,2.3, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,10,3,-0.1,-0.032258065,Democrat,Truman,Democrat,Truman,49598,279,0.565704901,381.2,15.1, , ,1.9, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,11,2.8,-0.2,-0.066666667,Democrat,Truman,Democrat,Truman,49816,218,0.439533852,381.2,15.1,86.2, ,1.1, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,12,2.7,-0.1,-0.035714286,Democrat,Truman,Democrat,Truman,50164,348,0.69857074,381.2,15.1, ,8.2,0.8, , ,99.9,66167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,1,2.9,0.2,0.074074074,Democrat,Truman,Democrat,Truman,50145,-19,-0.037875767,388.5,7.8, , ,0.4, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,2,2.6,-0.3,-0.103448276,Democrat,Truman,Republican,Eisenhower,50339,194,0.386878054,388.5,7.8,90.7, ,0.8, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,3,2.6,0,0,Democrat,Truman,Republican,Eisenhower,50475,136,0.270168259,388.5,7.8, ,3.2,1.1, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,4,2.7,0.1,0.038461538,Democrat,Truman,Republican,Eisenhower,50432,-43,-0.085190688,392.3,4, , ,0.8, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,5,2.5,-0.2,-0.074074074,Democrat,Truman,Republican,Eisenhower,50491,59,0.116989213,392.3,4, , ,1.1, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,6,2.5,0,0,Democrat,Truman,Republican,Eisenhower,50522,31,0.061397081,392.3,4, ,1.3,1.1, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,7,2.6,0.1,0.04,Republican,Eisenhower,Republican,Eisenhower,50536,14,0.0277107,391.7,-0.6, , ,0.4, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,8,2.7,0.1,0.038461538,Republican,Eisenhower,Republican,Eisenhower,50487,-49,-0.096960583,391.7,-0.6,80.8, ,0.7, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,9,2.9,0.2,0.074074074,Republican,Eisenhower,Republican,Eisenhower,50365,-122,-0.241646364,391.7,-0.6, ,2,0.7, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,10,3.1,0.2,0.068965517,Republican,Eisenhower,Republican,Eisenhower,50242,-123,-0.244217214,386.5,-5.2, , ,1.1, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,11,3.5,0.4,0.129032258,Republican,Eisenhower,Republican,Eisenhower,49907,-335,-0.66677282,386.5,-5.2,80.7, ,0.7, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,12,4.5,1,0.285714286,Republican,Eisenhower,Republican,Eisenhower,49702,-205,-0.410764021,386.5,-5.2, ,-1.5,0.7, , ,110.05,69608,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,1,4.9,0.4,0.088888889,Republican,Eisenhower,Republican,Eisenhower,49468,-234,-0.470806004,385.9,-0.6, , ,1.1, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,2,5.2,0.3,0.06122449,Republican,Eisenhower,Republican,Eisenhower,49382,-86,-0.173849761,385.9,-0.6,82, ,1.5, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,3,5.7,0.5,0.096153846,Republican,Eisenhower,Republican,Eisenhower,49158,-224,-0.453606577,385.9,-0.6, ,0.7,1.1, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,4,5.9,0.2,0.035087719,Republican,Eisenhower,Republican,Eisenhower,49178,20,0.040685138,386.7,0.8, , ,0.8, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,5,5.9,0,0,Republican,Eisenhower,Republican,Eisenhower,48965,-213,-0.433120501,386.7,0.8,82.9, ,0.7, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,6,5.6,-0.3,-0.050847458,Republican,Eisenhower,Republican,Eisenhower,48896,-69,-0.140916982,386.7,0.8, ,2.9,0.4, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,7,5.8,0.2,0.035714286,Republican,Eisenhower,Republican,Eisenhower,48835,-61,-0.124754581,391.6,5.1, , ,0.4,0.8, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,8,6,0.2,0.034482759,Republican,Eisenhower,Republican,Eisenhower,48825,-10,-0.020477117,391.6,5.1, , ,0,1.22, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,9,6.1,0.1,0.016666667,Republican,Eisenhower,Republican,Eisenhower,48882,57,0.116743472,391.6,5.1, ,7.5,-0.4,1.06, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,10,5.7,-0.4,-0.06557377,Republican,Eisenhower,Republican,Eisenhower,48944,62,0.126836054,400.3,9.2, , ,-0.7,0.85, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,11,5.3,-0.4,-0.070175439,Republican,Eisenhower,Republican,Eisenhower,49178,234,0.478097417,400.3,9.2,87, ,-0.4,0.83, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,12,5,-0.3,-0.056603774,Republican,Eisenhower,Republican,Eisenhower,49331,153,0.311114726,400.3,9.2, ,4.8,-0.7,1.28, ,111.33,69701,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,1,4.9,-0.1,-0.02,Republican,Eisenhower,Republican,Eisenhower,49497,166,0.336502402,413.8,14.1, , ,-0.7,1.39, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,2,4.7,-0.2,-0.040816327,Republican,Eisenhower,Republican,Eisenhower,49644,147,0.296987696,413.8,14.1,95.9, ,-0.7,1.29, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,3,4.6,-0.1,-0.021276596,Republican,Eisenhower,Republican,Eisenhower,49963,319,0.642575135,413.8,14.1, ,7.9,-0.7,1.35, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,4,4.7,0.1,0.02173913,Republican,Eisenhower,Republican,Eisenhower,50247,284,0.568420631,422.2,8.4, , ,-0.4,1.43, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,5,4.3,-0.4,-0.085106383,Republican,Eisenhower,Republican,Eisenhower,50512,265,0.52739467,422.2,8.4,99.1, ,-0.7,1.43, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,6,4.2,-0.1,-0.023255814,Republican,Eisenhower,Republican,Eisenhower,50790,278,0.55036427,422.2,8.4, ,1.2,-0.7,1.64, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,7,4,-0.2,-0.047619048,Republican,Eisenhower,Republican,Eisenhower,50985,195,0.383933845,430.9,8.5, , ,-0.4,1.68, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,8,4.2,0.2,0.05,Republican,Eisenhower,Republican,Eisenhower,51111,126,0.247131509,430.9,8.5, , ,-0.4,1.96, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,9,4.1,-0.1,-0.023809524,Republican,Eisenhower,Republican,Eisenhower,51262,151,0.295435425,430.9,8.5, ,1.6,0.4,2.18, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,10,4.3,0.2,0.048780488,Republican,Eisenhower,Republican,Eisenhower,51431,169,0.329678904,437.8,6.5, , ,0.4,2.24, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
